optimizer,layer,KL_scores,KL_weights_logit,KL_out_proj
AdamW,0,0.006519405311431298,0.0013725919469446141,0.010067883486170107
AdamW,1,0.007661202943762115,0.003426598591885101,0.010876157875517316
AdamW,2,0.00896226007403455,0.0041021882787543006,0.010900015898194032
AdamW,3,0.009685709719700075,0.010971151591621958,0.010086327668339251
AdamW,4,0.009876509365728361,0.00863422652699046,0.007582857981742484
AdamW,5,0.008600965350067932,0.006390260460485214,0.00656992813517007
AdamW,6,0.009713815264087234,0.004856788883558092,0.005717906637322929
AdamW,7,0.009664487238153635,0.008782931624207058,0.007190137091524395
AdamW,8,0.007701943440099444,0.0391726523995526,0.005805385744784361
AdamW,9,0.007778312198396712,0.00915849249044133,0.009088654416941837
AdamW,10,0.008011292313247027,0.003990399336081862,0.010133842660282751
AdamW,11,0.020785049770923197,0.005567071566098411,0.019614526860827416
Adan,0,0.020586799977961326,0.04468591207263358,0.03163761070898123
Adan,1,0.009914472046316439,0.03894224336716901,0.01008942033241601
Adan,2,0.015541781183857142,0.33175236965597643,0.007550365256926871
Adan,3,0.024172603744701322,2.056037410779754,0.02527535825670361
Adan,4,0.012885907528716134,0.6102091713107546,0.005644835265672738
Adan,5,0.07293316869048583,1.7803318457115715,0.011113319144227187
Adan,6,0.09276795033325146,0.6320659314604813,0.010109140537696647
Adan,7,0.17604501952731558,0.34439735085743517,0.004087186473037735
Adan,8,0.28471058507364233,0.3279383999079477,0.04072463158295045
Adan,9,0.21793302971817563,0.27548445190106124,0.02871057277224733
Adan,10,0.3480087665641295,0.3916477618899237,0.08583663394613031
Adan,11,1.1679326793316502,0.22065219370653386,0.03978912633021597
Muon,0,0.019349508026752137,0.03095482892459511,0.0028260212507531524
Muon,1,0.03730561538785687,0.092705871610581,0.0035605532355326864
Muon,2,0.05335050186288667,0.5730382867569649,0.008793910317207176
Muon,3,0.04150653634725671,0.21740188447457018,0.005021320868790265
Muon,4,0.11110518302679886,0.36245802940210237,0.009227308078160057
Muon,5,0.023283292707669528,0.04264588822494987,0.006424412783295919
Muon,6,0.03279679945526505,0.3535194875112957,0.004890473992487754
Muon,7,0.04129906607910543,0.6190776803468727,0.005003700367294346
Muon,8,0.021309498295373423,1.278342170807954,0.004389958211320762
Muon,9,0.01976194301937067,0.5580440250493641,0.003977131484409506
Muon,10,0.036739589933660236,0.06181635639646425,0.004151622031035973
Muon,11,0.03454469960777338,0.06279638464715163,0.011839574984134404
